"製品品番","製品名","ProductionLine"
"647190","BI ★ﾃﾞﾀｰｸﾘｰﾝLAM (DLAM)",
"4336","ﾆｭｰﾄﾗｽﾄﾘｯﾊﾟｰ 18LTX1",
"604330","BI ﾆｭｰﾄﾗ･ｽﾄﾘｯﾊﾟｰ",
"2272173","ﾁｭｳｾｲｾﾝｻﾞｲ 18KGX1",
"2282507","ｴﾃﾞｨｵﾝｾﾝﾖｳｼﾞｭｼﾜｯｸｽ 18L BIB",
"2282540","ｸﾞﾗﾝﾄﾞｽﾗﾑ          18LTX1",
"2889958","ｼｰﾙﾄﾞ               18LX1",
"2891054","BI ﾀﾊﾞｺｾﾝﾖｳｼｮｳｼｭｳｻﾞｲ",
"2895910","BI ｼｰﾙﾄﾞ",
"2900272","ﾆｭｰﾄﾗ ｺｰﾄ ｶﾞｯｺｳﾖｳ 18LTX1",
"2903238","ﾉｳｼｭｸﾕｶﾖｳｾﾝｻﾞｲ N   18LTX1",
"2903772","BI ★GEN2 (DL)",
"2907167","★BI DU SHINE (DL)",
"2911537","ｼｰｴｽ ｾﾝﾖｳｸﾘｰﾅｰ   18LX1",
"T10520","ｽｰﾊﾟｰﾃｨｰﾎﾟｰﾙ 20KGX1","2A"
"T10820","ﾃｨｰﾎﾟｰﾙｴｲﾄ 20KGX1","2A"
"T12818","ﾆｭｰﾃｨｰｿｰﾌﾟ 18KGX1","2C"
"T12918","ｴｷﾀｲ ﾃｨｰｿｰﾌﾟL 18KGX1","2C"
"T14318","ﾌﾟﾛｾﾝﾃNL 18KGX1","2C"
"T41808","ｵｳｼｮｳｸﾘｰﾝ 25KGX1","2A"
"T47198","ﾃﾞﾀｰｸﾘｰﾝLAM 25KGX1","2A"
"T63420","●ﾆｭｰｱﾙﾀﾝﾔｻｲｸﾀﾞﾓﾉｱﾗｲ 2X6","JP3"
"T63500","ｻﾆﾀｽﾍﾞｼﾞﾀｸﾘｰﾝ 5KGX2","7B"
"3014846","BI ｸﾞﾗｽｸﾘﾝ ﾌﾟﾛ",
"3014900","BI ｻﾆﾏｽﾀｰ III",
"3019137","ｻﾆﾏｽﾀｰ3(ｽﾘｰ)BIB    18LTX1",
"3028658","BI ﾊﾞｲｵｸﾘｰﾝA10",
"3032315","BI ﾁｭｳｾｲｶｯﾄﾊﾞｯｸ",
"3032323","ｵｰｴｽｺｰﾄﾋﾟｰﾃｨｰ18LTX1",
"3099077","BI ﾋﾟｭｱﾎﾜｲﾄ",
"3108498","BI ﾆｭｰｸｲｯｸﾒﾝﾃ",
"3153002","BI ﾃﾞｲﾘｰｸﾘｰﾅｰﾁｭｳｾｲ",
"T16000","ﾃﾞｭﾌｫｰﾑｺﾝｸ 1.5LX6","7C"
"T16060","ｽﾀｰPLUS（D1）　1.5LX4","7B"
"T16070","ｽﾀｯﾄPLUS(ﾊﾞｯｸ） 1.5LX4","7B"
"T26243","ﾄﾞﾗｲｲｯﾄ 10LX1","7A"
"T26252","ﾆｭｰﾃﾞｭﾄﾞﾗｲ 10LX1","7A"
"T26041","ﾌﾟﾛﾊﾟﾝｼﾞｰﾌﾟﾗｽ 20LX1","2A"
"T26062","PROGEN2ﾌﾟﾗｽ 10LX1","7A"
"T26063","PROGEN2ﾌﾟﾗｽ 20LX1","2A"
"T26070","ﾌﾟﾛﾃﾞｭｼｬｲﾝﾌﾟﾗｽ 10LX1","7A"
"T26091","*ﾌﾟﾛｽﾍﾟｼｬﾙﾌﾟﾗｽ 10LX1*","7A"
"T26093","*ﾌﾟﾛｽﾍﾟｼｬﾙﾌﾟﾗｽ 20LX1*","2A"
"T35143","ｱﾌﾞﾗﾖｺﾞﾚｼﾞｮｷｮFF(7&I)  800MLX12","JP3"
"T35900","ELWﾊﾞｸﾃﾘｵ 20LX1",
"3163622","BI ｼﾞｭｼﾜｯｸｽﾖｳﾊｸﾘｻﾞｲ　N",
"3178242","BI ｸﾘｽﾀﾙﾄﾞﾗｲ",
"3298594","ADJﾜﾂｸｽ BIB 18LX1",
"T44720","ｽｰﾊﾟｰﾄﾞﾗｲ 10KGX1","7A"
"3307737","BI ｸﾙｰｸﾘﾝﾍﾞｰﾙ",
"T21602","ﾃﾞﾀｰﾌｧｲﾝLM 25KGX1","2A"
"T21611","ﾃﾞﾀｰﾌｧｲﾝLIQUID MA 25KGX1","2A"
"T35611","ﾀｽｷﾆｭｰｱｰﾙﾂｰﾌﾟﾗｽ　1.5LX4","7B"
"616280","BI ｵﾌﾟﾁﾏﾑ135ｽﾍﾟｼｬﾙ",
"3411526","ﾆｭｰﾄﾗ ｺｰﾄﾀｲｲｸｶﾝﾖｳ 18LTX1",
"3411551","BI ★ﾆｭｰﾘﾝｽｴｰｽ",
"3412385","ﾑﾘﾝ ﾌｫﾜｰﾄﾞ BIB   18LTX1",
"3413724","BI ﾐﾗｰｲﾒｰｼﾞ",
"3413732","BI ﾌﾟﾛﾏｯｸｽ(ﾘﾌﾚｸﾀｰ)",
"3457751","ﾆｭｰｽﾀｰﾀﾞﾑ   18LTX1",
"3458578","BI ★ｵｰﾌﾞﾝｸﾘｰﾅｰFF",
"3458586","BI IYｵｰﾌﾞﾝｸﾘｰﾅｰFF",
"3505098","BI ﾆｭｰｽﾀｰﾀﾞﾑ",
"3512503","BI ★ﾆｭｰﾑﾘﾝﾌｫﾜｰﾄﾞ",
"3522111","BI Cｸﾘｰﾝﾈｵ",
"3522138","ADJ万能ｸﾘｰﾅｰBIB  18LTX1",
"3665198","BI ﾃｨｰﾎﾟｰﾙｸﾘｱ",
"3671643","ｱﾌﾞﾗﾖｺﾞﾚｵﾄｼｾﾝｻﾞｲ  20KGX1",
"3690799","BI ｼﾞｮｷﾝﾉﾃﾞｷﾙﾊﾞｽｸﾘｰﾅｰ",
"T28040","ﾁｭｳｾｲ ﾃﾞﾀｰｾｰﾌ 10KGX1","7A"
"T47195","ﾃﾞﾀｰｸﾘｰﾝLK 24KGX1","2A"
"4121782","BI ★ﾆｭｰﾃﾞｭﾄﾞﾗｲ",
"4168492","BI ｷｭｳ ｺｳﾀｸｵｳ",
"T41918","TSR-10 10LX1","7A"
"T41920","TSW-20 20LX1","2A"
"T41923","JWS-10DHG 10LX1","7A"
"T41921","JWR-10DHD 10LX1","7A"
"T41922","JWR-5DHD 5LX1","7B"
"T41924","JWS-20DHG 20LX1","2A"
"4262649","BI ﾆｭｰﾄﾗｺｰﾄﾀｲｸｶﾝﾖｳ",
