"RelationID","ProductID","ProductID:製品名","MaterialID","MaterialID:MaterialsName","QuantityPerUnit","UnitType"
"PM-T31604-933490","T31604","ｽﾄｱｰｽｰﾊﾟｰﾌﾞﾘｰﾁ  5LX3","933490","BTL ｽﾄｱｽｰﾊﾟｰﾌﾞﾘｰﾁ  5L(G)","3","EA"
"PM-T31604-960340","T31604","ｽﾄｱｰｽｰﾊﾟｰﾌﾞﾘｰﾁ  5LX3","960340","CAP 43ﾊﾟｯｷﾝｱﾘｷｬｯﾌﾟ(2L/5L)","3","EA"
"PM-TB90-3024016","TB90","BI ﾃﾞﾀｰﾌｧｲﾝｽｰﾊﾟｰSW","3024016","ﾒﾀ珪酸ｿｰﾀﾞ 9水塩(三宝)","0.25","KG"
"PM-TB90-342400","TB90","BI ﾃﾞﾀｰﾌｧｲﾝｽｰﾊﾟｰSW","342400","FLEXATRAC-NTA-100(500KG)","0.3333","KG"
"PM-TB90-856074","TB90","BI ﾃﾞﾀｰﾌｧｲﾝｽｰﾊﾟｰSW","856074","ｱｷｭｿﾞｰﾙ 497NG (25KG)","0.015","KG"
"PM-TB90-856073","TB90","BI ﾃﾞﾀｰﾌｧｲﾝｽｰﾊﾟｰSW","856073","ｱｷｭｿﾞｰﾙ 445NG (25KG)","0.03","KG"
"PM-TB90-4122785","TB90","BI ﾃﾞﾀｰﾌｧｲﾝｽｰﾊﾟｰSW","4122785","ﾉｲｹﾞﾝLF-202N (18KG)","0.03","KG"
"PM-TB90-4261099","TB90","BI ﾃﾞﾀｰﾌｧｲﾝｽｰﾊﾟｰSW","4261099","ｻﾝﾉﾆｯｸTN-1265▲(190KG)*33*","0.005","KG"
"PM-TB90-342404","TB90","BI ﾃﾞﾀｰﾌｧｲﾝｽｰﾊﾟｰSW","342404","FLEXATRAC-NTA-100(25KG)","0.0167","KG"
"PM-TB90-894294","TB90","BI ﾃﾞﾀｰﾌｧｲﾝｽｰﾊﾟｰSW","894294","中性無水ﾎﾞｳｼｮｳ","0.31644","KG"
"PM-TB90-825610","TB90","BI ﾃﾞﾀｰﾌｧｲﾝｽｰﾊﾟｰSW","825610","ｽﾃｲﾝｻﾞｲﾑﾌﾟﾗｽ ｴﾋﾞﾃｨ 12T (40KG)","0.00356","KG"
"PM-T28052-JB48","T28052","*CM ｶﾌﾟｾﾙM2 4KGX4*","JB48","BIｸﾘｱﾏｽﾀｰｾﾝｼﾞｮｳｷﾖｳｶﾌﾟｾﾙM2","16","KG"
