"材料品番","材料名","単位","ID"
"962170","POU共通BIBﾊﾞｯｸ+ﾌﾟﾙﾘﾝｸﾞｷｬｯﾌﾟ","EA","2800"
"984610","CTN BIB共通ﾗｯﾌﾟﾋﾟｰｽｶｯﾄﾃｰﾌﾟﾅｼ","EA","2801"
"911770","LBLｼﾞｭｼﾜｯｸｽｸﾞﾘｰﾝﾎﾟｼﾞｼｮﾝ18L BIB","EA","2802"
"945000","LBL ｸﾞﾘｰﾝﾏﾙﾁｸﾘｰﾅｰ5Lﾛｰﾙ","EA","2803"
"987300","CTN ｸﾞﾘｰﾝﾏﾙﾁｸﾘｰﾅｰ 5X3","EA","2804"
"960340","CAP 43ﾊﾟｯｷﾝｱﾘｷｬｯﾌﾟ(2L/5L)","EA","2805"
"932860","BTL JD 5L WEL ﾅﾁｭﾗﾙ(N)","EA","2806"
"4522359","BI ｸﾞﾘｰﾝﾌﾟﾗｽ ﾏﾙﾁｸﾘｰﾅｰ","KG","2807"
"800000","BI 充填機回収液DRM","KG","2808"
"894218","A珪酸ｶﾘ (1200KG)","KG","2809"
"4025993","ｱｷｭｿｰﾙ445 (ﾌﾟﾗｲﾏﾙLMW45)(1200KG","KG","2810"
"895430","ﾍﾞｸﾀｰ IC 27216(1100KG)","KG","2811"
"820140","ｶｾｲｶﾘ 48% 工業用ｸﾞﾚｰﾄﾞ(ﾛｰﾘｰ)","KG","2812"
"821872","ｸﾞﾙｺﾝ酸ﾅﾄﾘｳﾑ(福洋) (25KG)","KG","2813"
"336701","BINT ｲｵﾝ交換水","KG","2814"
"823981","ﾃﾞｨｿﾞﾙﾋﾞﾝ GL-47-S(250KG)*41*","KG","2815"
"336700","WATER","KG","2816"
"338132","ｸﾞﾘｾﾘﾝ(食添) (250KG)*21*","KG","2817"
"210508","E-230PG(180KG) *19*","KG","2818"
"342425","ｱﾉﾝ LGｰR(200KG) *31*","KG","2819"
"210488","ﾃｲｶﾄｯｸｽ 110 (20KG)","KG","2820"
"987340","CTN ﾖｼﾉﾔﾏﾙﾁｸﾘｰﾅｰTH 5X3","EA","2821"
"960340","CAP 43ﾊﾟｯｷﾝｱﾘｷｬｯﾌﾟ(2L/5L)","EA","2822"
"932860","BTL JD 5L WEL ﾅﾁｭﾗﾙ(N)","EA","2823"
"911810","LBL ﾖｼﾉﾔ ﾏﾙﾁｸﾘｰﾅｰTH 5KGﾛｰﾙ","EA","2824"
"614160","BI ★ｽﾄｱﾌﾞﾚｰｸｱｯﾌﾟS","KG","2825"
"900000","DRM 充填機液回収ﾄﾞﾗﾑ","EA","2826"
"987400","CTN MDｱﾙﾐｾﾝｼﾞｮｳﾀｲｵｳ12.5X2","EA","2827"
"2886351","CAP KC50420(10･12.5L共用)","EA","2828"
