R5531004,,,,,,,,CxS Corporation,,,,,,,,,25/02/19, 4:30:13
,,,,,,,,充填予定表,,,,,,,,,Page -,1
製造/ 充填,,生産日,ﾜｰｸｾﾝﾀｰ 番号,ﾜｰｸｾﾝﾀｰ名,,,,品番,,品名,,,,生産 予定数,,人員,ｵｰﾀﾞｰ No.,Work Order Status
           F,,25/02/28,      200601,F&B 充填#6A　<20L,,,,DS020441,,*ﾊﾟﾝｹﾚｰﾄ UD10 20KGX1 PN*,,,,100,,2.0,33575073,20
           F,,25/02/28,      200601,F&B 充填#6A　<20L,,,,DS020782,,*ｻﾆﾀｽ ﾊﾟﾜｰﾗｰｼﾞ 24KGX1 PN*,,,,200,,2.0,33575107,20
           F,,25/02/28,      200602,"F&B 充填#6B　DM, C/T",,,,DS020696,,*ﾊﾟﾝｹﾚｰﾄ UD10 1.2TX1 CT ｶｷﾞﾂｷ*,,,,5,,1.0,33577188,20
           F,,25/02/28,      200602,"F&B 充填#6B　DM, C/T",,,,DS020783,,*ｻﾆﾀｽ ﾊﾟﾜｰﾗｰｼﾞ 1000KGX1 CT*,,,,2,,1.0,33575108,20
           F,,25/02/28,      200700,JP#7　大容量プラボトル,,,,T24968,,●ﾋﾏﾜﾘｾﾝｻﾞｲｾﾝﾖｳﾘﾝｽｻﾞｲ 5KGX3,,,,200,,5.0,33575234,20
           F,,25/02/28,      200700,JP#7　大容量プラボトル,,,,T262410,,ﾄﾞﾗｲｲｯﾄ 5LX2,,,,96,,5.0,33575237,20
           F,,25/02/28,      200700,JP#7　大容量プラボトル,,,,T40440,,ﾍﾞｽﾄｳｫｯｼｭ 11.5KGX1,,,,748,,4.0,33575224,20
           F,,25/02/28,      200700,JP#7　大容量プラボトル,,,,T40441,,ﾍﾞｽﾄｳｫｯｼｭ 23KGX1,,,,934,,3.0,33575225,20
           F,,25/02/28,      200700,JP#7　大容量プラボトル,,,,T41922,,JWR-5DHD 5LX1,,,,195,,5.0,33575238,20
           F,,25/02/28,      200700,JP#7　大容量プラボトル,,,,T461220,,●MDｼｮｯｷｾﾝｼﾞｮｳｷﾖｳﾘﾝｽｻﾞｲ5KGX4,,,,96,,5.0,33575233,20
           F,,25/02/28,      200800,JP#8　ドラム/コンテナ,,,,T20177,,●3ﾊﾞｲﾉｳｼｭｸﾊﾞﾝﾉｰｾﾝｻﾞｲ1000KG,,,,10,,1.0,33575118,20
           F,,25/02/28,      200900,JP#9　オフライン,,,,T44972,,KFCｵｲﾙﾊﾞｽﾀｰﾖｳ30MLﾎﾟﾝﾌﾟ1X6,,,,60,,3.0,33573065,20
           F,,25/03/01,      200100,JP#1　5Lプラボトル,,,,T15030,,ｽｰﾊﾟｰﾃｨｰﾎﾟｰﾙ 5KGX3,,,,2666,,4.0,33575438,20
