R5531004,,,,,,,,CxS Corporation,,,,,,,,,25/02/12, 2:52:44
,,,,,,,,充填予定表,,,,,,,,,Page -,1
製造/ 充填,,生産日,ﾜｰｸｾﾝﾀｰ 番号,ﾜｰｸｾﾝﾀｰ名,,,,品番,,品名,,,,生産 予定数,,人員,ｵｰﾀﾞｰ No.,Work Order Status
           F,,25/02/19,      200700,JP#7　大容量プラボトル,,,,T41923,,JWS-10DHG 10LX1,,,,479,,4.0,33573034,20
           F,,25/02/19,      200700,JP#7　大容量プラボトル,,,,6038552,,ｻｽﾃｨﾅSSﾄﾗﾌｨｯｸ(4.55+0.45)KGx2,,,,219,,6.0,33575197,20
           F,,25/02/19,      300100,マシン外注組立,,,,5990269,,ﾏｲｸﾛｽﾀﾝﾀﾞｰﾄﾞﾌﾞﾙｰ X20,,,,240,,1.0,33575248,30
           F,,25/02/19,      300100,マシン外注組立,,,,5990277,,ﾏｲｸﾛｽﾀﾝﾀﾞｰﾄﾞﾚｯﾄﾞ X20,,,,240,,1.0,33575249,30
           F,,25/02/20,      200100,JP#1　5Lプラボトル,,,,T30335,,ｵｲﾙﾊﾞｽﾀｰ 5LX3,,,,1318,,4.0,33575132,20
           F,,25/02/20,      200100,JP#1　5Lプラボトル,,,,T40071,,ｶﾈﾖｼ ｷｯﾁﾝﾌﾟﾛｵｲﾙｽｶｯﾄ 5LX3,,,,150,,4.0,33575133,20
           F,,25/02/20,      200100,JP#1　5Lプラボトル,,,,T41697,,ｵｰｲｽﾞﾐﾌｰｽﾞ ｷｮｳﾘｮｸｾﾝｻﾞｲ 5LX3,,,,90,,4.0,33575134,20
           F,,25/02/20,      200100,JP#1　5Lプラボトル,,,,25214286,,ｶｰﾍﾟｷｰﾌﾟ ﾆｭｰｼｬﾝﾌﾟｰ 5LX3,,,,236,,4.0,33575136,20
           F,,25/02/20,      200100,JP#1　5Lプラボトル,,,,5214956,,ﾉｳｼｭｸ ﾕｶﾖｳ ｾﾝｻﾞｲ N 5LX3,,,,90,,4.0,33575157,20
           F,,25/02/20,      200100,JP#1　5Lプラボトル,,,,5215019,,ﾌｧｲﾊﾞｰﾌﾚｯｼｭﾌﾟﾛ 5LX3,,,,90,,4.0,33575137,20
           F,,25/02/20,      200100,JP#1　5Lプラボトル,,,,5215078,,ﾑﾘﾝﾌｫﾜｰﾄﾞ 5LX3,,,,510,,4.0,33575156,20
           F,,25/02/20,      200201,JP#2A 20Lプラボトル,,,,DS020748,,ｻﾆﾀｽﾀｲｻﾞｰN1ﾎﾞﾄﾙﾀｲﾌﾟ20KGX1,,,,619,,3.0,33575032,20
           F,,25/02/20,      200201,JP#2A 20Lプラボトル,,,,T47195,,ﾃﾞﾀｰｸﾘｰﾝLK 24KGX1,,,,878,,3.0,33573032,20
           F,,25/02/20,      200202,JP#2C　18L角缶,,,,T12818,,ﾆｭｰﾃｨｰｿｰﾌﾟ 18KGX1,,,,277,,3.0,33575180,20
           F,,25/02/20,      200300,JP#3B　小容量プラボトル,,,,T37111,,ﾌﾟﾛﾊﾞｲｵｸﾘｰﾝN20 ND 2KGx6,,,,216,,4.0,33575033,20
           F,,25/02/20,      200400,JP#4　バッグインボックス,,,,3412385,,ﾑﾘﾝ ﾌｫﾜｰﾄﾞ BIB   18LTX1,,,,550,,3.0,33575158,20
           F,,25/02/20,      200601,F&B 充填#6A　<20L,,,,DS020358,,ﾊﾟﾝｸﾘｰﾅ P52 22KGX1 PN,,,,150,,2.0,33575071,20
           F,,25/02/20,      200601,F&B 充填#6A　<20L,,,,DS020675,,AKｸﾘｰﾝ NO.1 20KGX1 PN,,,,250,,2.0,33575082,20
           F,,25/02/20,      200602,"F&B 充填#6B　DM, C/T",,,,DS030659,,ｽﾗｲﾀﾞｰ GP2 1000KGx1 CT,,,,3,,1.0,33575111,20
           F,,25/02/20,      200603,F&B 充填#6D　ﾛｰﾘｰ,,,,DS030660,,●ｽﾗｲﾀﾞｰGP2 ﾛｰﾘｰ,,,,4000,,1.0,33570811,20
           F,,25/02/20,      200700,JP#7　大容量プラボトル,,,,T14000,,ﾃｨｰﾎﾟｰﾙｸﾞﾘｰﾝ 10KGx2,,,,204,,5.0,33575216,20
           F,,25/02/20,      200700,JP#7　大容量プラボトル,,,,T471940,,ﾃﾞﾀｰｸﾘｰﾝLK 12KGX2,,,,440,,5.0,33573044,20
           F,,25/02/20,      200700,JP#7　大容量プラボトル,,,,4405574,,ﾃﾊﾀﾞﾆﾔｻｼｲﾊﾞｽｸﾘｰﾅ18L BIB,,,,81,,3.0,33573038,20
           F,,25/02/20,      200700,JP#7　大容量プラボトル,,,,6071766,,ﾊﾞﾌﾞﾙﾓﾝｽﾀｰ 18LX1,,,,333,,3.0,33573070,20
           F,,25/02/20,      200900,JP#9　オフライン,,,,T35755,,ｾｰﾌﾀｯﾁ ｱﾙｺｰﾙｼﾞｪﾙ 800MLX6,,,,96,,5.0,33575115,20
           F,,25/02/20,      200900,JP#9　オフライン,,,,6058545,,PI TRG ｼﾐｸﾘｱES1用(ｶｯﾄｽﾞﾐ),,,,2250,,4.0,33573067,20
           F,,25/02/20,      300100,マシン外注組立,,,,6008273,,TASKI ｲﾝﾃﾘﾊﾟｯﾄﾞ 15,,,,50,,1.0,33581467,30
           F,,25/02/20,      300200,A03ﾗﾍﾞﾙ貼り,,,,6026885,,ｼﾝ ｵｷｼｳﾞｨﾙTbﾜｲﾌﾟ1X6,,,,100,,1.0,33575191,30
           F,,25/02/21,      200100,JP#1　5Lプラボトル,,,,T20176,,ﾃﾞﾀｰﾌｧｲﾝｺﾝｸLM 6KGX3,,,,1731,,4.0,33575018,20
           F,,25/02/21,      200100,JP#1　5Lプラボトル,,,,T30128,,ｽﾄｱﾁｭｳｾｲｶｯﾄﾊﾞｯｸ 5LX3,,,,182,,4.0,33575138,20
           F,,25/02/21,      200100,JP#1　5Lプラボトル,,,,T30355,,ﾁｭｳｾｲｵｲﾙﾊﾞｽﾀｰ5LX3,,,,659,,4.0,33575020,20
           F,,25/02/21,      200201,JP#2A 20Lプラボトル,,,,T20212,,ﾌﾟﾛｾﾝﾃDWｴｷﾀｲｾﾝｻﾞｲMA 24KGX1,,,,655,,2.0,33575211,20
           F,,25/02/21,      200201,JP#2A 20Lプラボトル,,,,T47195,,ﾃﾞﾀｰｸﾘｰﾝLK 24KGX1,,,,878,,3.0,33573033,20
           F,,25/02/21,      200300,JP#3B　小容量プラボトル,,,,T30350,,ﾁｭｳｾｲｵｲﾙﾊﾞｽﾀｰ 2LX6,,,,824,,4.0,33575021,20
           F,,25/02/21,      200400,JP#4　バッグインボックス,,,,3019,,T G                18LTX1,,,,389,,3.0,33573015,20
           F,,25/02/21,      200601,F&B 充填#6A　<20L,,,,2DS020479,,ｼｭｱﾌｫｰﾑ SMS 20KGX1  PN,,,,125,,2.0,33575089,20
           F,,25/02/21,      200602,"F&B 充填#6B　DM, C/T",,,,DS030309,,ｽﾗｲﾀﾞｰ S430H 200KGX1  DM,,,,12,,1.0,33575145,20
           F,,25/02/21,      200602,"F&B 充填#6B　DM, C/T",,,,DS030310,,ｽﾗｲﾀﾞｰ S430H 1000KGX1  CT,,,,5,,1.0,33575148,20
           F,,25/02/21,      200700,JP#7　大容量プラボトル,,,,DS020794,,ﾗｯｸｹｱ 20KGX1 QB,,,,500,,3.0,33575189,20
           F,,25/02/21,      200700,JP#7　大容量プラボトル,,,,T20224,,ﾌﾟﾛｾﾝﾃDWｴｷﾀｲｾﾝｻﾞｲMA 12KGX1,,,,384,,4.0,33575213,20
           F,,25/02/21,      200700,JP#7　大容量プラボトル,,,,T26062,,PROGEN2ﾌﾟﾗｽ 10LX1,,,,528,,4.0,33573026,20
           F,,25/02/21,      200700,JP#7　大容量プラボトル,,,,T41923,,JWS-10DHG 10LX1,,,,358,,4.0,33573035,20
           F,,25/02/21,      200800,JP#8　ドラム/コンテナ,,,,T20177,,●3ﾊﾞｲﾉｳｼｭｸﾊﾞﾝﾉｰｾﾝｻﾞｲ1000KG,,,,10,,1.0,33575117,20
           F,,25/02/21,      200900,JP#9　オフライン,,,,DS020181,,ﾊｯﾎﾟｳｻﾞｲ T 18KGX1 CN,,,,50,,2.0,33572936,20
           F,,25/02/21,      200900,JP#9　オフライン,,,,T35755,,ｾｰﾌﾀｯﾁ ｱﾙｺｰﾙｼﾞｪﾙ 800MLX6,,,,96,,5.0,33575116,20
           F,,25/02/21,      200900,JP#9　オフライン,,,,T40027P,,希釈用ﾎﾞﾄﾙ　2L(6) 1PX1,,,,204,,4.0,33573055,20
           F,,25/02/21,      300100,マシン外注組立,,,,6068188,,Duel 1840NX X1  ﾁｬｰｼﾞｬｰﾚｽ,,,,15,,1.0,33575169,30
           F,,25/02/21,      300200,A03ﾗﾍﾞﾙ貼り,,,,T35621,,TASKI R1 PLUS 2LX2,,,,32,,1.0,33575193,30
           F,,25/02/21,      300200,A03ﾗﾍﾞﾙ貼り,,,,T35632,,TASKI R3 PLUS 2LX2,,,,22,,1.0,33575196,30
